is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,67.0,3,56207.414,0.0,18375.502,377400.0,7955.0457032328095,13.534208092478288
1,67.0,1,0.0,864729.44,0.0,58891000.0,531.4440671962161,18.58434601614821
0,77.0,1,0.0,0.0,31346.443,77591.0,15016.290496580958,11.952353900665209
1,54.0,1,12970.941,0.0,0.0,7000.0,8114.9368058414275,9.546812613699435
0,61.0,2,125385.77,0.0,0.0,772100.0,3545.467835897126,14.250016534857272
1,61.0,2,10376.754,0.0,0.0,23080.0,2183.051101465634,10.7398689016513
1,36.0,2,22699.148,0.0,0.0,8320.0,1655.4337568060205,9.719564717986747
0,69.0,1,108091.18,0.0,64854.71,1982500.0,9267.19322382006,15.193016413051147
0,49.0,3,81068.39,0.0,0.0,69520.0,2534.065260441287,11.842516940550947
0,57.0,1,0.0,0.0,0.0,-58500.0,727.9055339628101,-11.669929213852944
1,75.0,1,8214.93,0.0,22699.148,28450.0,5470.870576276438,10.949050620423291
1,59.0,1,0.0,0.0,16213.678,25980.0,11911.407693414394,10.858229471154928
1,65.0,2,48641.03,0.0,0.0,82830.0,4185.331304808444,12.017692774188694
0,63.0,4,368590.94,3094650.5,0.0,1439811000.0,45.26336446919539,21.780924872480227
1,25.0,1,75663.83,1080.9119,0.0,74300.0,2287.1597593714355,11.90901341131108
0,80.0,1,0.0,1677575.1,43236.473,610660000.0,49.78317111963847,20.923198078000024
0,54.0,1,315626.25,0.0,0.0,4449600.0,3651.342107239885,16.001471943021794
0,81.0,1,0.0,1080.9119,48641.03,10294300.0,3924.3804822866505,16.840248082520336
0,58.0,1,1221430.4,25293.336,0.0,8660360.0,3186.7553785077766,16.66741403067334
0,64.0,1,283198.9,0.0,0.0,1508540.0,10296.941343485509,14.91980003419678
0,39.0,1,1621367.8,14268.036,0.0,4540000.0,1225.05185537849,16.02158475057749
0,59.0,3,0.0,0.0,0.0,5370.0,2292.38621731309,9.281730376732304
1,77.0,1,0.0,648.5471,67016.53,315740.0,13700.094367328906,13.355821549648171
0,62.0,3,0.0,0.0,0.0,22900.0,2522.0634806672065,10.732039370579002
0,30.0,1,132952.16,21.618237,0.0,177500.0,5219.885595432612,12.779873068465488
0,67.0,1,0.0,1729.4589,145923.1,5044000.0,1107.8912869581363,16.1268571566269
0,61.0,1,383723.7,3664.291,0.0,4731800.0,557.5143375159666,16.062963418320283
0,62.0,1,0.0,0.0,36751.004,9800.0,11774.153508565269,9.88328484782169
0,84.0,1,0.0,486410.3,274551.6,43297000.0,437.5505268023347,18.276741087067748
0,37.0,1,108091.18,0.0,0.0,179000.0,12826.487642638724,12.78828826539064
0,45.0,1,0.0,1189.003,0.0,2872720.0,348.2814107430936,15.563917054669972
